 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11933791;"Personajes Siniestros de la Historia: Rasputín y la caída de los zares de Rusia";"";"1";"0";"";"";"2023-03-24 00:00:00.0";"2023-03-24 23:59:00.0";"18:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=97b98d3561f56810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Ana María Matute (Carabanchel)";"1,6";"CALLE";"ISAAC ALBENIZ";"1";"CARABANCHEL";"SAN ISIDRO";"28019";"438891";"4472167";"40.39786734087938";"-3.720088245008897";"/contenido/actividades/ConferenciasColoquios";"";
11933853;"Personajes Siniestros de la Historia; Hitler, Goebles, Goering y Himmler";"";"1";"0";"";"";"2023-04-14 00:00:00.0";"2023-04-14 23:59:00.0";"18:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a60d8d3561f56810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Ana María Matute (Carabanchel)";"1,6";"CALLE";"ISAAC ALBENIZ";"1";"CARABANCHEL";"SAN ISIDRO";"28019";"438891";"4472167";"40.39786734087938";"-3.720088245008897";"/contenido/actividades/ConferenciasColoquios";"";
11964887;"Pisando fuerte: charla de crecimiento personal II";"";"1";"0";"";"";"2023-03-30 00:00:00.0";"2023-03-30 23:59:00.0";"11:00";"En este segundo encuentro, la conferenciante y escritora, la autora de la trilogía 'Pisando fuerte', Manana El Hannach El Hannach, nos da las claves para descubrir nuestro propio potencial y tener una sana autoestima. Utilizará fragmentos de otro volumen de su trilogía. Inscríbete en este enlace.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c72c57c48407810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=74703d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal María Zambrano (Tetuán)";"1,6";"PLAZA";"DONOSO";"5";"TETUAN";"ALMENARA";"28029";"440857";"4480052";"40.46903299144094";"-3.6976620067964996";"/contenido/actividades/CursosTalleres";"";
11957533;"Poesía y primavera en Canillejas";"";"1";"1";"L,M,X,J,V";"";"2023-03-13 00:00:00.0";"2023-03-24 23:59:00.0";"08:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ccf0f04cb2ad6810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Canillejas (San Blas-Canillejas)";"0,6";"CALLE";"BOLTAÑA";"23";"SAN BLAS-CANILLEJAS";"CANILLEJAS";"28022";"448119";"4477485";"40.44640229188281";"-3.6117933204271098";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
11956321;"Presentación y cuentacuentos del libro infantil  'La vida secreta de los planetas'";"";"1";"0";"";"";"2023-03-27 00:00:00.0";"2023-03-27 23:59:00.0";"17:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0525d4ddebac6810VgnVCM1000001d4a900aRCRD";"Presentación y cuentacuentos del libro infantil  'La vida secreta de los planetas' de Soledad Paz";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f1c2d4ddebac6810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"1,6";"CALLE";"BARCELO";"4";"CENTRO";"JUSTICIA";"28004";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
11949940;"Proyecto Fahrenheit 451 Personas-libro";"";"1";"1";"V";"";"2023-03-03 00:00:00.0";"2023-03-31 23:59:00.0";"19:00";"Partiendo del planteamiento de la novela de Ray Bradbury Fahrenheit 451 en el que, ante la amenaza de la quema de todos los libros existentes y así la destrucción del conocimiento y la capacidad crítica, una serie de personas deciden memorizar los textos de los libros que consideran imprescindibles para la humanidad para que, al menos de manera oral, se puedan seguir transmitiendo. El proyecto Fahrenheit 451 Personas-libro, propone conformar un grupo de personas dispuestas a memorizar fragmentos (no hace falta que sea extenso) de un libro que consideren importante, y transmitirlo a los demás a través del método de la Palabra Vinculada. . Este método, por el que aprendemos a transmitir los textos que previamente hemos elegido y memorizado, permite dotarlos de calidez y sentimiento. Percibir los matices y el sentido de las palabras escogidas, usadas con verdad. Antonio Rodríguez Menéndez, creador del proyecto, se compromete a formar a las potenciales Personas-libro en el arte de la Palabra Vinculada. Las sesiones de este taller se realizarán los viernes del mes de marzo a las 19:00. Inscíbete en este enlace.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c2a56e03cba6810VgnVCM2000001f4a900aRCRD";"Proyecto Fahrenheit 451 Personas-libro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e4b649869535810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Iván de Vargas (Centro)";"1,6";"CALLE";"SAN JUSTO";"5";"CENTRO";"PALACIO";"28005";"439775";"4473962";"40.41410290844665";"-3.7098591212735883";"/contenido/actividades/CursosTalleres";"";
11833849;"Reading Club: Club de lectura en inglés";"";"1";"1";"X";"";"2022-10-05 00:00:00.0";"2023-04-26 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=88681c0ea8914810VgnVCM2000001f4a900aRCRD";"Reading Club: Club de lectura en inglés";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3c9c1f293af2810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)";"1,6";"CALLE";"MARIA SEVILLA DIAGO";"15";"SAN BLAS-CANILLEJAS";"ROSAS";"28022";"448214";"4476029";"40.433291625973624";"-3.6105662311927453";"/contenido/actividades/ClubesLectura";"";
11761088;"Reading Club: Club de lectura en inglés";"";"1";"1";"X";"12/10/2022;9/11/2022;";"2022-10-05 00:00:00.0";"2023-04-26 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca9ac1f293af2810VgnVCM2000001f4a900aRCRD";"Reading Club: Club de lectura en inglés";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3c9c1f293af2810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5ca89e2c9e5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán)";"1,6";"CALLE";"FRANCOS RODRIGUEZ";"67";"TETUAN";"BELLAS VISTAS";"28039";"439755";"4478779";"40.45749513485957";"-3.710539712535917";"/contenido/actividades/ClubesLectura";"";
11760908;"Reading Club: Club de lectura en inglés";"";"1";"1";"L";"14/11/2022;5/12/2022;12/12/2022;26/12/2022;";"2022-10-03 00:00:00.0";"2023-04-24 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6e9c1f293af2810VgnVCM2000001f4a900aRCRD";"Reading Club: Club de lectura en inglés";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3c9c1f293af2810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"1,6";"CALLE";"BARCELO";"4";"CENTRO";"JUSTICIA";"28004";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"/contenido/actividades/ClubesLectura";"";
11793731;"Reading Club: Club de lectura en inglés";"";"1";"1";"X";"";"2022-10-05 00:00:00.0";"2023-04-26 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d448c88b0983810VgnVCM2000001f4a900aRCRD";"Reading Club: Club de lectura en inglés";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3c9c1f293af2810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0fce3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Francisco Ibáñez (Chamartín)";"1,6";"CALLE";"MANTUANO";"51";"CHAMARTIN";"CIUDAD JARDIN";"28002";"442766";"4477922";"40.44810636195716";"-3.6762309620097398";"/contenido/actividades/ClubesLectura";"";
